Nombre de la matriz de supervisión,Nombre de la sección,Pregunta,Puesto,Tipo,Respuesta correcta,Calificación por respuestas (selección)
Supervisión en tienda,administrativa,¿Se revisó el establecimiento en la apertura?,Administrador,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Se registrarón las asistencias?,Vendedor,Si/no,"Si,",5
Supervisión en tienda,administrativa,"¿La presentación del personal es la adecuada? (vestimenta, fisico)",Vendedor,Si/no,"Si,",7
Supervisión en tienda,administrativa,¿Se elaboró ficha del día?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿La apertura se realizo en tiempo?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿El pizarrón se encuentra actualizado?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Las prendas colgadas tienen precio actualizado?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Los gastos de caja chica se encuentran actualizados?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Se encuentra limpia el área de caja?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Se encuentran limpios los probadores?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿El almacén se encuentra en orden?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Se realizó corte de caja a los $3000?,Vendedor,Si/no,"Si,",1
Supervisión en tienda,administrativa,¿Los exhibidores se encuentran llenos?,Vendedor,Si/no,No,1
Supervisión en tienda,administrativa,¿Los exhibidores se encuentran acomodados?,Vendedor,Si/no,No,10
Supervisión en tienda,administrativa,¿Los anuncios de Qr para quejas se encuentran visibles?,Vendedor,Si/no,No,1
Supervisión en tienda,administrativa,¿Se encuentra el efectivo en la caja fuerte?,Vendedor,Si/no,No,1
Supervisión en tienda,administrativa,¿Se activo la alarma antes de cerrar?,Contador,Si/no,No,7
Supervisión en tienda,Cumplimiento en números,¿ Cánto dinero hay en la caja?,Contador,Numérica,Menor a 4,3
Supervisión en tienda,Cumplimiento en números,¿ Cuantos clientes entreron en la mañana?,Contador,Numérica,5,3
Supervisión en tienda,Cumplimiento en números,¿ Cuantos masajes hubo en el día?,Contador,Numérica,6,3
Supervisión en tienda,Comentarios,¿ Como es el ambiente de la tienda,Contador,Texto abierto,Hola,1
